Episode,TotalReward,MovingAvgReward,EpisodeLength,Loss,MeanQ,Epsilon,ExplorationRate
142,89.01000000000032,53.78239999999976,4100,0.85296630859375,11.239439964294434,0.16933534210794904,0.125
143,130.2700000000184,55.49659999999976,3499,0.09487850964069366,9.655202865600586,0.16693719310005378,0.25
144,73.7299999999937,57.955,3748,1.0768171548843384,8.621305465698242,0.1650056873216618,0.25
145,184.580000000017,59.843499999999956,3403,1.7769745588302612,9.350471496582031,0.16417121613325006,0.25
146,209.34000000002317,63.304700000000146,4252,0.19519823789596558,12.569099426269531,0.16413785577530554,0.0
147,185.7500000000291,66.11720000000038,4216,0.179667666554451,11.487396240234375,0.16347935680270276,0.125
148,114.00999999999053,67.99290000000066,2985,1.6604294776916504,9.129591941833496,0.16231453862431267,0.125
149,82.37999999999298,69.66140000000055,3368,0.06549212336540222,10.203115463256836,0.16153922419659783,0.125
150,119.83999999999126,71.29460000000047,3597,0.3860492706298828,11.080036163330078,0.1600438280658362,0.0
151,126.08000000001805,72.9599000000004,3643,0.10626493394374847,8.485701560974121,0.1578604897161704,0.25
152,198.07000000001642,75.35020000000061,3364,0.262143075466156,7.590038776397705,0.15606292739439476,0.0
153,277.1600000000237,77.22470000000077,3860,0.10750105232000351,9.863137245178223,0.15570527038231108,0.125
154,149.63000000001725,80.10610000000099,3348,0.6217180490493774,11.31618881225586,0.1555228564178989,0.125
155,143.99000000001604,81.97370000000116,3692,0.14316630363464355,14.286608695983887,0.1553609661519753,0.25
156,166.91000000001185,83.21460000000133,3595,1.6410883665084839,11.719818115234375,0.15396818807907844,0.0
157,112.50999999999655,85.68250000000144,3945,1.1050710678100586,10.148371696472168,0.15255576326438228,0.125
158,155.0900000000133,87.34340000000142,3547,0.847190260887146,10.473876953125,0.15210155336199224,0.25
159,53.45999999999791,88.51660000000155,2495,0.8772674798965454,10.617237091064453,0.1504142948744816,0.0
160,170.6900000000058,89.42090000000155,2907,0.897429883480072,10.133129119873047,0.14990867140563757,0.125
161,106.18999999998579,91.64320000000158,4297,0.178995281457901,10.598673820495605,0.14872317372039928,0.25
162,241.9000000000201,92.44770000000142,3456,0.07876435667276382,11.86365032196045,0.14835428116742663,0.125
163,190.23000000002472,94.62960000000159,3498,0.08149673044681549,13.82684326171875,0.14813236227881713,0.25
164,180.35000000001438,96.81480000000187,3041,2.1028525829315186,12.814419746398926,0.14778705387240376,0.125
165,95.28999999998682,98.75240000000201,3402,1.7542459964752197,11.381871223449707,0.14586924107406596,0.25
166,271.050000000005,99.99920000000189,3576,0.08857995271682739,11.026644706726074,0.14515742703907425,0.125
167,183.5500000000022,102.54670000000195,3291,0.14156845211982727,9.735685348510742,0.14419602104054421,0.0
168,51.340000000002334,104.471600000002,3352,1.0811290740966797,12.074357986450195,0.1436461363183463,0.125
169,178.37000000000455,104.85890000000205,2744,0.47591546177864075,11.292794227600098,0.14312896285089283,0.0
170,92.99999999998815,106.6683000000021,2826,0.09968656301498413,11.351529121398926,0.14267933150373294,0.125
171,83.7499999999931,107.25650000000198,3351,0.045376911759376526,14.819381713867188,0.1426110991737472,0.0
172,107.98999999999381,107.37720000000198,3707,0.31760174036026,11.660957336425781,0.14169056162776658,0.375
173,321.0100000000252,108.82240000000192,4050,0.14149673283100128,9.086261749267578,0.13900909263037498,0.125
174,140.85000000001574,110.91610000000217,3741,0.08718693256378174,11.710710525512695,0.13888135241502386,0.125
175,95.67999999998904,112.35540000000233,3408,0.042292140424251556,9.047406196594238,0.13718088418924648,0.125
176,165.4400000000253,112.88410000000225,4412,0.6264098286628723,11.998799324035645,0.13704579178812765,0.125
177,150.76999999999896,114.1679000000025,3074,0.104950912296772,12.522844314575195,0.13686692336662803,0.125
178,188.80000000002136,116.18760000000246,4021,0.0665135607123375,10.508012771606445,0.13633839018660476,0.125
179,214.52000000002226,117.8420000000027,4689,0.1493084579706192,11.207662582397461,0.1361817469340357,0.0
180,333.9900000000378,120.38450000000292,5327,0.17498919367790222,10.800771713256836,0.1348521477363822,0.25
181,135.4400000000173,123.8954000000033,3027,0.12208861112594604,11.414018630981445,0.134560615843552,0.125
182,79.5699999999919,125.06550000000347,3069,0.12372669577598572,12.651834487915039,0.13438961961019166,0.25
183,201.49999999999642,125.30220000000347,3716,0.08517567068338394,7.623076915740967,0.13177483941746118,0.125
184,191.24000000002016,126.28370000000352,4082,0.7840933203697205,10.192834854125977,0.1315797080283591,0.125
185,80.86999999998825,127.32890000000381,3509,0.7112113237380981,11.944313049316406,0.1314435779423718,0.0
186,201.43000000001993,126.66950000000372,3863,0.07597391307353973,10.605428695678711,0.13113569042627682,0.25
187,354.280000000032,127.1672000000039,4533,0.07296808063983917,12.87428092956543,0.13090242819949888,0.0
188,222.77000000002457,130.9813000000042,3699,0.8942094445228577,10.537182807922363,0.1300587789575246,0.125
189,205.12000000001788,132.61140000000455,3709,0.8519401550292969,10.864751815795898,0.12964800278042832,0.0
190,265.0100000000161,133.99160000000475,4125,0.13742077350616455,11.789164543151855,0.1293037285831488,0.125
191,152.94000000001319,135.83770000000496,2827,0.08797483891248703,10.333942413330078,0.12820318072708925,0.0
192,200.83000000001078,136.540500000005,2763,0.9104670882225037,10.037853240966797,0.1276690583927917,0.125
193,228.48000000001574,138.2934000000051,3198,1.0660269260406494,12.653487205505371,0.12766795165259093,0.0
194,290.5200000000241,140.2350000000053,3849,0.10068441927433014,9.645848274230957,0.12724077041374568,0.0
195,74.86999999999496,141.6418000000055,2764,0.739471971988678,10.740159034729004,0.12654482366981357,0.0
196,171.83000000002212,141.6462000000055,3158,0.1848011314868927,13.364240646362305,0.12649178707674585,0.125
197,301.0700000000295,142.53670000000577,4749,0.10864663124084473,10.880213737487793,0.12574897352798475,0.125
198,239.50000000001438,145.49640000000602,3541,0.18964725732803345,11.92015552520752,0.12543369229435422,0.125
199,200.2300000000076,147.1583000000063,3193,0.10318551957607269,10.01059627532959,0.12435153199911703,0.125
200,230.30000000002096,148.83340000000638,3941,0.15371844172477722,9.734599113464355,0.12408995053599431,0.125
201,124.04000000001459,150.38490000000664,3577,1.099568247795105,11.25697135925293,0.12397939124485118,0.0
202,294.1300000000209,151.58060000000683,3338,0.8412421345710754,12.382190704345703,0.12383594566445971,0.0
203,313.330000000016,153.52190000000712,3258,1.7051520347595215,11.958137512207031,0.12330143072806175,0.375
204,217.11000000000814,155.5957000000074,3925,1.459632158279419,10.530790328979492,0.12264263793982859,0.25
205,310.56000000002246,157.43240000000756,4410,0.9423419833183289,10.049705505371094,0.12158491655939092,0.0
206,328.7700000000219,159.21920000000767,3489,0.1599927842617035,10.284574508666992,0.12117952182773709,0.125
207,229.3700000000194,161.1534000000079,3174,1.665287971496582,12.621349334716797,0.12112030211291039,0.0
208,188.07999999999853,162.7292000000083,3373,1.0291355848312378,11.72152042388916,0.12082751113141414,0.0
209,330.5900000000284,163.50550000000834,3817,0.9981498718261719,13.052581787109375,0.12067891874725444,0.125
210,398.0000000000411,166.24790000000866,5491,0.07053818553686142,12.343589782714844,0.1204183654564257,0.125
211,205.81000000001765,169.41050000000914,3475,0.9879440665245056,12.28237533569336,0.12027755812273772,0.125
212,133.08000000002113,170.30930000000933,3388,0.09164445102214813,11.219620704650879,0.11977294844366265,0.0
213,175.8600000000137,169.43040000000937,2615,0.4970606863498688,10.451080322265625,0.11862518623339913,0.125
214,215.1400000000158,170.1243000000096,3552,0.7852462530136108,9.529644012451172,0.11832295716135749,0.0
215,105.22999999998646,170.82020000000958,3703,0.651544451713562,12.34475040435791,0.1182636868499089,0.0
216,303.5600000000286,171.3147000000095,4510,0.28311818838119507,11.038714408874512,0.1180220275648767,0.0
217,278.6200000000241,173.91110000000975,3434,0.1536463350057602,12.41901969909668,0.1177977983834338,0.0
